"name","id.viaf","id.wiki","id.oape"
"ابن رشد الحفيد","NA","NA","1299"
"ابن رشيق","NA","NA","3199"
"ابن زمرك","NA","NA","3200"
"ابن زيدون","NA","NA","56"
"ابن سعد","NA","NA","3201"
"ابن سعيد","NA","NA","3202"
"ابن سهل الاندلسي","NA","NA","3203"
"ابن سوار وماني المجوسي","NA","NA","3204"
"ابن سينا","89770781","Q8011","57"
"ابن شمس الخلافة","NA","NA","3205"
"ابن شهاب","NA","NA","1301"
"ابن طولون","NA","NA","3206"
"ابن عابدين","NA","NA","58"
"ابن عباس","NA","NA","41"
"ابن فاتك","NA","NA","59"
"ابن قتيبة","300232804","Q984663","60"
"ابن قيم الجوزية","NA","NA","3207"
"ابن كمال","NA","NA","1303"
"ابن ماجه","NA","NA","61"
"ابن مجدي","NA","NA","3208"
"ابن مسكويه","NA","NA","3209"
"ابن مسكيه","NA","NA","3210"
"ابن مقداد وابي القاسم الانطاكي","NA","NA","3211"
"ابن منقذ","NA","NA","2993"
"ابن نباتة","NA","NA","3212"
"ابن نديم","NA","NA","3213"
"ابن هانئ الاندلسي","NA","NA","1304"
"ابن هانئ يصف الاسطول","NA","NA","62"
"ابن وهاس","NA","NA","3214"
"ابو اديب حافظ حلمي","NA","NA","1014"
"ابو اسحاق الشاطبي","NA","NA","2994"
"ابو اسحاق الشيرازي","NA","NA","1015"
"ابو اسحق القيرواني","NA","NA","2995"
"ابو الاشبال","NA","NA","1016"
"ابو البركات محمد البلفيقي","90072742","NA","2870"
"ابو الحسن الرزاز","NA","NA","2996"
"ابو الحسن الرزاز علي بن عبد الله محمد بن احمد الحكيمي","NA","NA","2997"
"ابو الحسن الهلال بن المحسن بن ابراهيم الصابئ","NA","NA","1017"
"ابو الحسن سعد الخير بن محمد بن سهل الانصار","NA","NA","2998"
"ابو الحسن علي بن حسن الخزرجي","NA","NA","2999"
"ابو الحسين محمد بن احمد بن جبير","NA","NA","1018"
"ابو السعود مراد","NA","NA","63"
"ابو السعود","NA","NA","12"
"ابو العباس احمد يحيى","NA","NA","3002"
"ابو العباس احمد بن يحيى","NA","NA","3001"
"ابو العتاهية","NA","NA","3003"
"ابو الفتح البستي","NA","NA","13"
"ابو الفرج عبد الرحمن","NA","NA","3004"
"ابو الفضل احمد بن ابي طاهر","NA","NA","1021"
"ابو القاسم","NA","NA","3005"
"ابو القاسم احمد هاشم","NA","NA","1022"
"ابو المحاسن محمد حسن","NA","NA","1023"
"ابو النصر القزاني","NA","NA","3006"
"ابو الهدى","NA","NA","3007"
"ابو اليسر ابراهيم بن محمد بن المدبر","NA","NA","3008"
"ابو بكر","NA","NA","14"
"ابو بكر خوقير الكتبي","NA","NA","3010"
"ابو بكر بن هذيل الكفيف","NA","NA","3009"
"ابو تمام","NA","NA","1024"
"ابو تمام حبيب الطائي","NA","NA","15"
"ابو تمام الطائي","62346122","Q1750054","3011"
"ابو حاتم","NA","NA","1025"
"ابو حاتم محمد بن حيان البستي","NA","NA","1026"
"ابو حامد الغزالي","NA","NA","3012"
"ابو حسن علي بن منصور الحلبي المعروف بالقارح","NA","NA","3013"
"ابو حنيفة","88126052","Q190896","16"
"ابو داود","NA","NA","17"
"ابو ذاكر الايداني","NA","NA","1027"
"ابو زبيد الطائي","NA","NA","3014"
"ابو زكريا يحيى","NA","NA","3215"
"ابو زكريا يحيى بن علي الخطيب التبريزي","NA","NA","1028"
"ابو سعيد","NA","NA","3015"
"ابو سعيد السيرافي","NA","NA","4246"
"ابو طالب المكي","NA","NA","3016"
