"id","name","birth.date","death.date","type"
"oape:4125","جبرائيل الدلال","NA","NA","person"
"oape:963","اديب نظمي","NA","NA","person"
"oape:4180","مصطفى واصف","NA","NA","person"
"oape:4124","توفيق عزوز","NA","NA","person"
"oape:4132","حبيب برهوم","NA","NA","person"
"oape:4123","تاج الدين الحسني","NA","NA","person"
"oape:3535","بدر الدين النعساني","NA","NA","person"
"oape:4310","جورج متى","NA","NA","person"
"oape:1537","جورج سمان","NA","NA","person"
"oape:3861","كلوت","NA","NA","person"
"oape:706","نصر الدين زغلول","NA","NA","person"
"oape:4140","درويش مصطفى","NA","NA","person"
"viaf:62350636","محمد لطفي جمعة","1886-01-18","1953-06-15","person"
"oape:105","سلوم مكرزل","NA","NA","person"
"viaf:96977760","جمال الدين الافغاني","1838-01-01","1897-03-09","person"
"viaf:27297150","محمد عبده","1849-01-01","1905-07-11","person"
"viaf:219321857","ماري عجمي","1888-05-14","1965-12-25","person"
"oape:4039","نسيب نصار","NA","NA","person"
"oape:3824","فاضل الجمل","NA","NA","person"
"viaf:72733868","عبد المسيح الانطاكي","1874","1923","person"
"oape:3137","اعظمي عبد الجبار أفندي","NA","NA","person"
"oape:3977","محمد هادي أفندي","NA","NA","person"
"oape:4184","نجيب افندي","NA","NA","person"
"oape:4131","حافظ صدقي","NA","NA","person"
"oape:2908","بشير رمضان","NA","NA","person"
"oape:872","مصطفى كامل","NA","NA","person"
"oape:4157","عبد الرحمن بن عبد اللطيف الرافعي","NA","NA","person"
"viaf:75445722","جرجي يني","1854","1941","person"
"oape:988","صموئيل يني","NA","NA","person"
"oape:4170","محمد بن ابو القاسم محمد الحفناوي","NA","NA","person"
"oape:4171","محمد بن مصطفى الخوجة","NA","NA","person"
"viaf:46790675","اغناس غولدسهير","1850-06-22","1921-11-14","person"
"oape:4149","سليم خليل نقاش","NA","NA","person"
"oape:4127","جرجس ميخائيل نحاس","NA","NA","person"
"viaf:65382270","جبر ضومط","1859","1930","person"
"oape:4161","عوض افندي واصف","NA","NA","person"
"oape:4119","عبد الرزاق النطاسي","NA","NA","person"
"oape:4137","خليل افندي زينيه","NA","NA","person"
"viaf:70270383","جرجي عطية","NA","1365","person"
"oape:3295","اسعد رحال","NA","NA","person"
"oape:4118","السيد جرمانوس","NA","NA","person"
"oape:99","خليل زينية","NA","NA","person"
"oape:583","محمد باقر","NA","NA","person"
"oape:592","كمال بكداش","NA","NA","person"
"oape:3574","جرجس الخوري المقدسي","NA","NA","person"
"viaf:265101315","مصطفى الغلاييني","1886-01-01","1944","person"
"oape:3689","شاكر عون","NA","NA","person"
"viaf:305214782","ابراهيم الحوراني","1844","1916","person"
"oape:4158","عبود ابي راشد","NA","NA","person"
"oape:4145","سعيد عقل الداموري","NA","NA","person"
"oape:4100","انيس الخوري","NA","NA","person"
"oape:3282","الخور فسقفوس جرجس شلحت","NA","NA","person"
"viaf:96964876","رفاعة الطهطاوي","1801-10-15","1873-05-27","person"
"oape:4143","سعادة","NA","NA","person"
"oape:4120","العطار","NA","NA","person"
"viaf:29512610","محمد علي","1769-03-04","1849-08-02","person"
"oape:4153","شيهاب الدين","NA","NA","person"
"oape:4104","ابراهيم عبد الغفار الدسوقي","NA","NA","person"
"oape:4173","محمد رشيد الدنا","NA","NA","person"
"oape:3897","لطفي فكري","NA","NA","person"
"oape:3773","عبد الهادي الاعظمي","NA","NA","person"
"oape:2942","نعمان الاعظمي","NA","NA","person"
"oape:3620","حيدر رشدي","NA","NA","person"
"oape:4111","احمد عارف افندي الرين","NA","NA","person"
"viaf:41830998","خليل الخوري","1836","1910","person"
"oape:388","وديع الخوري","NA","NA","person"
"oape:380","حنا الخوري","NA","NA","person"
"oape:4151","سيادة اثناسيوس عطا الله","NA","NA","person"
"oape:4166","قسطنطين يني","NA","NA","person"
"oape:4178","مسعود سماحة","NA","NA","person"
"oape:4188","نعوم افرام البستاني","NA","NA","person"
"oape:728","عبد الرحمن سلام","NA","NA","person"
"oape:4174","محمد رشيد الصفار","NA","NA","person"
"oape:3694","شكري فارس","NA","NA","person"
"oape:177","رضاء الدين فخر الدين","NA","NA","person"
"oape:174","حكمت ناظم","NA","NA","person"
"oape:3735","عارف حكمت","NA","NA","person"
"viaf:24606197","فريدريك باسي","1822-05-20","1912-06-12","person"
"viaf:12720446","ابراهيم الاسود","1855","1940","person"
"oape:4168","محبوب الشرتوني","NA","NA","person"
"viaf:73737825","خليل سركيس","1842","1915","person"
"oape:451","احمد الصابوني","NA","NA","person"
"oape:775","خليل صادق","NA","NA","person"
"oape:3078","ابي مسعود","NA","NA","person"
"oape:3401","عبد العزيز جاويش","NA","NA","person"
"oape:4154","طه الراوي","NA","NA","person"
"oape:4107","ابن عون","NA","NA","person"
"viaf:39370998","انستاس ماري الكرملي","1866-08-05","1947-01-07","person"
"wiki:Q12234292","كاظم الدجيلي","1884","1970","person"
"viaf:51716068","رشيد رضا","NA","NA","person"
"viaf:305214858","انطون الجميل","1887","1948","person"
"oape:1142","امين تقي الدين","NA","NA","person"
"oape:4189","نوري افندي","NA","NA","person"
"oape:3716","صلاح الدين أفندي الكركوكي","NA","NA","person"
"viaf:72750911","عبد الله النديم","1845","1896-10-13","person"
"viaf:62958224","يعقوب صروف","1852","1927","person"
"wiki:Q12230077","فارس نمر","NA","NA","person"
"viaf:38237868","شاهين مكاريوس","1853","1910","person"
"viaf:77068906","لويس شيخو","1859-02-05","1927-12-07","person"
"oape:2810","الاب لويس خليل","NA","NA","person"
"viaf:2749071","فرح انطون","1874","1922-07-03","person"
"oape:4198","مخائيل كرم","NA","NA","person"
"viaf:32272677","كرد علي","1876-01-01","1953-01-01","person"
"viaf:160786315","شكري العسلي","1868","1916-05-06","person"
"oape:877","احمد كرد علي","NA","NA","person"
"viaf:76496271","جرجي زيدان","1861-12-14","1914-07-21","person"
"viaf:64154472","ابراهيم اليازجي","1847-03-02","1906-12-28","person"
"viaf:57953733","بشارة زلزل","NA","1905","person"
"oape:3749","عبد الرحمن البرقوقي","NA","NA","person"
"oape:4169","محمد السباعي","NA","NA","person"
"oape:4150","سليمان بن بدور","NA","NA","person"
"viaf:306137154","احمد عارف الزين","1881","1960","person"
"viaf:40250618","عيسى اسكندر المعلوف","1869-04-11","1956-07-02","person"
"viaf:305214837","احمد حسن طبارة","1871","1916-05-06","person"
"oape:4144","سعيد عقل","NA","NA","person"
"viaf:79119650","بطرس البستاني","NA","1883-05-01","person"
"viaf:21245607","سليم البستاني","1846-12-28","1884-09-19","person"
"viaf:311789687","جرجي نقولا باز","1881","1959","person"
"viaf:4795364","عبد القادر الاسكندراني","1875","1943","person"
"viaf:311789538","سليم المعوشي","NA","NA","person"
"viaf:311789537","ملحم خلف","1962-01-20","NA","person"
"oape:4183","ميخائيل بن جرجس","NA","NA","person"
"oape:4115","اصغر زاده معروف افندي","NA","NA","person"
