"source","target","person.id","person.name.Arab","person.name.Latn","edge.type"
"oape:1899","oape:2032","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
"oape:1899","oape:1991","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
"oape:2107","oape:1993","oape:5161","جورج اسحاو يارد","Jūrj Isḥāw Yārid","editor"
"oape:2027","oape:2032","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
"oape:2027","oape:1991","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
"oape:1473","oape:1102","oape:6023","شكري الخوري","Shukrī al-Khūrī","editor"
"oape:1473","oape:1150","oape:6023","شكري الخوري","Shukrī al-Khūrī","editor"
"oape:1473","oape:1297","oape:383","رشيد الخوري","رشيد الخوري","editor"
"oape:1473","oape:1477","oape:383","رشيد الخوري","رشيد الخوري","editor"
"oape:2347","oape:3228","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:2347","oape:2747","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:2347","oape:2963","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:3228","oape:2747","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:3228","oape:2963","oape:5662","مصطفی اسماعيل القشاشي","Muṣṭafā Ismāʿīl al-Qashāshī","editor"
"oape:684","oape:731","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:684","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:1236","oape:1275","oape:5155","جورج اطانسيادي","Jūrj Aṭānsiyādī","editor"
"oape:2032","oape:1991","oape:5631","محمد صبحي عقدة","Muḥammad Ṣubḥī ʿAqda","editor"
"oape:731","oape:639","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:658","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:731","oape:797","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:639","oape:666","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:639","oape:691","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:639","oape:839","oape:5073","جمس سانوا","Jams Sānuwā","editor"
"oape:639","oape:700","oape:5073","جمس سانوا","Jams Sānuwā","editor"
